arm,template_id,amplitude,reducer,combiner,scalar_power,irrep_power,irrep_minus_scalar,arms_are_independent_replications
paired300,MIX_PLANAR,0.25,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.045,0.0609375,0.0159375,False
paired300,MIX_PLANAR,0.5,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.07,0.08625,0.016249999999999987,False
paired300,MIX_PLANAR,1.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.1284375,0.2946875,0.16624999999999998,False
paired300,MIX_PLANAR,2.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.49125,0.9578125,0.46656249999999994,False
paired300,MIX_PLANAR,4.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.8934375,1.0,0.1065625,False
paired300,MIX_PLANAR,8.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9928125,1.0,0.007187500000000013,False
paired300,MIX_GENERIC,0.25,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.0434375,0.0646875,0.021249999999999998,False
paired300,MIX_GENERIC,0.5,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.070625,0.0846875,0.014062500000000006,False
paired300,MIX_GENERIC,1.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.1465625,0.1634375,0.016875,False
paired300,MIX_GENERIC,2.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.396875,0.53375,0.13687499999999997,False
paired300,MIX_GENERIC,4.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.3446875,0.658125,0.3134375,False
paired300,MIX_GENERIC,8.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.259375,0.7228125,0.46343749999999995,False
paired300,Q_AXIAL,0.25,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.013125,0.013125,False
paired300,Q_AXIAL,0.5,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.010625,0.010625,False
paired300,Q_AXIAL,1.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.010625,0.010625,False
paired300,Q_AXIAL,2.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.01625,0.01625,False
paired300,Q_AXIAL,4.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.021875,0.021875,False
paired300,Q_AXIAL,8.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0215625,0.0215625,False
paired300,O_PLANAR,0.25,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0059375,0.0059375,False
paired300,O_PLANAR,0.5,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0065625,0.0065625,False
paired300,O_PLANAR,1.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.011875,0.011875,False
paired300,O_PLANAR,2.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0134375,0.0134375,False
paired300,O_PLANAR,4.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.011875,0.011875,False
paired300,O_PLANAR,8.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0096875,0.0096875,False
paired300,MIX_AXIAL,0.25,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0109375,0.0109375,False
paired300,MIX_AXIAL,0.5,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.015,0.015,False
paired300,MIX_AXIAL,1.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0565625,0.0565625,False
paired300,MIX_AXIAL,2.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.435,0.435,False
paired300,MIX_AXIAL,4.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.995,0.995,False
paired300,MIX_AXIAL,8.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,1.0,1.0,False
paired300,MIX_PLANAR,0.25,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.006875,0.006875,False
paired300,MIX_PLANAR,0.5,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0096875,0.0096875,False
paired300,MIX_PLANAR,1.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0190625,0.0190625,False
paired300,MIX_PLANAR,2.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.083125,0.083125,False
paired300,MIX_PLANAR,4.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.2525,0.2525,False
paired300,MIX_PLANAR,8.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.410625,0.410625,False
paired300,MIX_GENERIC,0.25,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.01,0.01,False
paired300,MIX_GENERIC,0.5,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0103125,0.0103125,False
paired300,MIX_GENERIC,1.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0090625,0.0090625,False
paired300,MIX_GENERIC,2.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0021875,0.0021875,False
paired300,MIX_GENERIC,4.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,0.0,False
paired300,MIX_GENERIC,8.0,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,0.0,False
paired300,Q_AXIAL,0.25,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.029375,0.073125,0.04375,False
paired300,Q_AXIAL,0.5,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.0628125,0.0665625,0.0037500000000000033,False
paired300,Q_AXIAL,1.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.2859375,0.1228125,-0.16312500000000002,False
paired300,Q_AXIAL,2.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.881875,0.2515625,-0.6303124999999999,False
paired300,Q_AXIAL,4.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9978125,0.31625,-0.6815625000000001,False
paired300,Q_AXIAL,8.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,1.0,0.3571875,-0.6428125,False
paired300,O_PLANAR,0.25,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.036875,0.066875,0.030000000000000006,False
paired300,O_PLANAR,0.5,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.03875,0.0809375,0.042187499999999996,False
paired300,O_PLANAR,1.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.0478125,0.184375,0.1365625,False
paired300,O_PLANAR,2.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.155,0.2496875,0.09468750000000001,False
paired300,O_PLANAR,4.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.474375,0.2628125,-0.2115625,False
paired300,O_PLANAR,8.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9503125,0.2671875,-0.683125,False
paired300,MIX_AXIAL,0.25,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.03375,0.06625,0.0325,False
paired300,MIX_AXIAL,0.5,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.0475,0.0796875,0.032187499999999994,False
paired300,MIX_AXIAL,1.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.090625,0.34125,0.250625,False
paired300,MIX_AXIAL,2.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.453125,0.9809375,0.5278125,False
paired300,MIX_AXIAL,4.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9303125,1.0,0.06968750000000001,False
paired300,MIX_AXIAL,8.0,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9996875,1.0,0.00031250000000004885,False
paired300,MIX_PLANAR,0.25,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.0315625,0.0578125,0.026250000000000002,False
paired300,MIX_PLANAR,0.5,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.0478125,0.0740625,0.026250000000000002,False
