source_case_id,control_case_id,direction_id,source_cutoff,control_safety_factor,rank_status,low_rank,high_rank,surviving_rank,augmented_rank_increment,rank_identity_holds,containment_witness,surviving_frobenius_fraction,high_threshold,control_operator_norm,cutsky_operator_norm,control_to_cutsky_operator_ratio,analysis_content_id
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D111,12,10.0,AMBIGUOUS,32,14,,,,,,0.4583518126655304,0.04583518126655304,41.16460992307608,0.0011134608429960787,sha256:211eb628d86cc17ec00d5cbf4896842f620fc8eb589c541afa249716869f75b1
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D1M11,12,2.0,AMBIGUOUS,32,20,,,,,,0.09167036253310584,0.04583518126655292,41.164609923076085,0.0011134608429960757,sha256:d8e6956506095abccbc53d873e43c473469c46b075f7a0b0b7e2248999f09a8b
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D1M11,12,5.0,AMBIGUOUS,32,16,,,,,,0.2291759063327646,0.04583518126655292,41.164609923076085,0.0011134608429960757,sha256:130debfdd2d79231ce0b24506ea8823e19fabec63c2ad4f189c50e76860b8cc1
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D1M11,12,10.0,AMBIGUOUS,32,14,,,,,,0.4583518126655292,0.04583518126655292,41.164609923076085,0.0011134608429960757,sha256:97e0d097cbd58f1c42e6a00cf058f1164ff73c52958e3e25a43f9eadd3a926b5
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D11M1,12,2.0,AMBIGUOUS,32,20,,,,,,0.09167036253310604,0.04583518126655302,41.164609923076085,0.001113460842996078,sha256:04aff5f96b923dae2a16af708b1a0c0a4221d13d055c409809188c8b57c983d9
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D11M1,12,5.0,AMBIGUOUS,32,16,,,,,,0.22917590633276508,0.04583518126655302,41.164609923076085,0.001113460842996078,sha256:b33c42f517767deef56f3f47de76073646e4edf816da393941fb53e34197a048
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D11M1,12,10.0,AMBIGUOUS,32,14,,,,,,0.45835181266553016,0.04583518126655302,41.164609923076085,0.001113460842996078,sha256:61b2c0c7eff29fd5c30663a1d1410861bc4a560b151fafdf08f53fafece68ee0
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,X,16,2.0,AMBIGUOUS,32,17,,,,,,0.2024261252809503,0.10121306264047515,29.627463143329223,0.0034161906522618963,sha256:6b5fe57aa1cede30bf02fbf68cd35c6d63934157e7b2393bf042f75ab769e7eb
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,X,16,5.0,AMBIGUOUS,32,16,,,,,,0.5060653132023758,0.10121306264047515,29.627463143329223,0.0034161906522618963,sha256:e710c6ac39c5fa8ec9c9472a03574a4d2a1afc06450569cd32107a4f03901142
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,X,16,10.0,AMBIGUOUS,32,13,,,,,,1.0121306264047516,0.10121306264047515,29.627463143329223,0.0034161906522618963,sha256:c3c6185a4d7facb0cbbec609346c514eda9150264cb14e16caf4a7abb3d560e6
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Y,16,2.0,AMBIGUOUS,32,17,,,,,,0.20242612528095272,0.10121306264047636,29.627463143329216,0.003416190652261938,sha256:2a7eb2fa48924bed6da581fed4b951bedc777797e316d6ebcecc477901c52226
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Y,16,5.0,AMBIGUOUS,32,16,,,,,,0.5060653132023818,0.10121306264047636,29.627463143329216,0.003416190652261938,sha256:f19802359e3a375cecb12e08182af6ee1983ae7e4eb422a5399b369037393c5e
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Y,16,10.0,AMBIGUOUS,32,13,,,,,,1.0121306264047636,0.10121306264047636,29.627463143329216,0.003416190652261938,sha256:3f13a595112706a28c4cdcb4f60c583567d944aa1b17d7c33b17d8236cdb7f75
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Z,16,2.0,AMBIGUOUS,32,28,,,,,,0.023743476390155793,0.011871738195077896,59.488101830824284,0.00019956491852504278,sha256:1b0f060ed78370316e8031924053316e67eb7a23ff351d7bbc893091722609c5
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Z,16,5.0,AMBIGUOUS,32,26,,,,,,0.05935869097538948,0.011871738195077896,59.488101830824284,0.00019956491852504278,sha256:7339c97d44f0da21c5bf3ba51113613a4ec0063b9fe1f89c48fc41dab761d246
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,Z,16,10.0,AMBIGUOUS,32,17,,,,,,0.11871738195077897,0.011871738195077896,59.488101830824284,0.00019956491852504278,sha256:2a5a125c9d54c5bc1707e1596ac4fea8a0e8583a085189346efc8b78601a96e9
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D111,16,2.0,AMBIGUOUS,32,17,,,,,,0.16587150608244883,0.08293575304122441,42.027857759787196,0.0019733519018563547,sha256:2be55e6bd9cdbad592b22ce7bce3658b87a241c02415445b0ac0695d63cc32ac
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D111,16,5.0,AMBIGUOUS,32,16,,,,,,0.41467876520612207,0.08293575304122441,42.027857759787196,0.0019733519018563547,sha256:f3461a7e2caadb3b9f9d9647bfab4fecb398b2204ccd31cdd2d2246dbd24b324
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D111,16,10.0,AMBIGUOUS,32,14,,,,,,0.8293575304122441,0.08293575304122441,42.027857759787196,0.0019733519018563547,sha256:a45425b8a10236d0142498818768b7f07f5ff06f526cad8d63df48c0b04949d3
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D1M11,16,2.0,AMBIGUOUS,32,17,,,,,,0.16587150608244877,0.08293575304122439,42.0278577597872,0.0019733519018563534,sha256:97d3f05b2cca7db229bd25040200032159b6f2719d6bac01c875b350022f60bd
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D1M11,16,5.0,AMBIGUOUS,32,16,,,,,,0.4146787652061219,0.08293575304122439,42.0278577597872,0.0019733519018563534,sha256:5fd815bbf98df4b9869571e1f2db159ab926ad26e296c2663ea87d0b25d13004
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D1M11,16,10.0,AMBIGUOUS,32,14,,,,,,0.8293575304122438,0.08293575304122439,42.0278577597872,0.0019733519018563534,sha256:5551081c28da6b2df71f1c45f01018167ef60bd99f304c9813f2993ddba6e087
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D11M1,16,2.0,AMBIGUOUS,32,17,,,,,,0.16587150608244877,0.08293575304122439,42.02785775978718,0.0019733519018563547,sha256:b37fd0facd7029a35ecc014573e415faa9d03a6ff71b9befbb8dff0d8c2a4bf0
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D11M1,16,5.0,AMBIGUOUS,32,16,,,,,,0.4146787652061219,0.08293575304122439,42.02785775978718,0.0019733519018563547,sha256:9c88e344397d20e7baaee4a75cb2fc37ae7e2854231ebf6173335b070aa11a1c
WIDE_N16_IDENTITY,MATCHED_FULLSKY_FOR_WIDE_N16_IDENTITY,D11M1,16,10.0,AMBIGUOUS,32,14,,,,,,0.8293575304122438,0.08293575304122439,42.02785775978718,0.0019733519018563547,sha256:2b80762af8f15d2ff3db288cd68cff200470da93586dd25c1705cbe1ffea9f83
