case_id,direction_id,source_cutoff,source_ell,metric_frobenius_norm,metric_operator_norm,block_id
WIDE_N32_IDENTITY,X,12,7,21.274676763125456,16.784638601256678,sha256:b1daeab1b13580c0c51e63e333be6d377bb02ea4687f9aaaf2d4d9926a1c5b7f
WIDE_N32_IDENTITY,X,12,8,21.247060214376532,19.74409662085204,sha256:c020ec5367771d3d8307d927738279eb55766d3f928580a8726069b6ba889efa
WIDE_N32_IDENTITY,X,12,9,6.65207928769484,4.473355299618108,sha256:69cee98de0207af17aee4a9d9c5addfa2314b7db7bc6098f52735413c19333e1
WIDE_N32_IDENTITY,X,12,10,7.9667268883923334,7.9267073279946745,sha256:65bcba97bd5d41c4258cf44c8abff610a6a686a82677b1a308d961d6d7672c89
WIDE_N32_IDENTITY,X,12,11,7.623837869322614,7.39809813713724,sha256:587d7e07ee0356c7abff6950b512fb4d873bb21fabadd7fa37078e99aeb5865b
WIDE_N32_IDENTITY,X,12,12,5.082807834863558,4.327259170364994,sha256:1709ebfbe5d99921df8eac0acd0437ee76e8ff23e61da1d0e56dcba05c599ca3
WIDE_N32_IDENTITY,Y,12,7,21.274676763125104,16.784638601256177,sha256:b1daeab1b13580c0c51e63e333be6d377bb02ea4687f9aaaf2d4d9926a1c5b7f
WIDE_N32_IDENTITY,Y,12,8,21.247060214376695,19.744096620852222,sha256:c020ec5367771d3d8307d927738279eb55766d3f928580a8726069b6ba889efa
WIDE_N32_IDENTITY,Y,12,9,6.652079287694966,4.473355299618285,sha256:69cee98de0207af17aee4a9d9c5addfa2314b7db7bc6098f52735413c19333e1
WIDE_N32_IDENTITY,Y,12,10,7.966726888392291,7.92670732799463,sha256:65bcba97bd5d41c4258cf44c8abff610a6a686a82677b1a308d961d6d7672c89
WIDE_N32_IDENTITY,Y,12,11,7.62383786932236,7.3980981371369765,sha256:587d7e07ee0356c7abff6950b512fb4d873bb21fabadd7fa37078e99aeb5865b
WIDE_N32_IDENTITY,Y,12,12,5.082807834863535,4.32725917036499,sha256:1709ebfbe5d99921df8eac0acd0437ee76e8ff23e61da1d0e56dcba05c599ca3
WIDE_N32_IDENTITY,Z,12,7,50.06658939112113,42.32119454343215,sha256:b1daeab1b13580c0c51e63e333be6d377bb02ea4687f9aaaf2d4d9926a1c5b7f
WIDE_N32_IDENTITY,Z,12,8,33.96989869654934,33.19743754683489,sha256:c020ec5367771d3d8307d927738279eb55766d3f928580a8726069b6ba889efa
WIDE_N32_IDENTITY,Z,12,9,20.45449536074561,19.241353613919237,sha256:69cee98de0207af17aee4a9d9c5addfa2314b7db7bc6098f52735413c19333e1
WIDE_N32_IDENTITY,Z,12,10,5.286057564137569,3.237810498849613,sha256:65bcba97bd5d41c4258cf44c8abff610a6a686a82677b1a308d961d6d7672c89
WIDE_N32_IDENTITY,Z,12,11,5.738956752645615,5.3592839316448995,sha256:587d7e07ee0356c7abff6950b512fb4d873bb21fabadd7fa37078e99aeb5865b
WIDE_N32_IDENTITY,Z,12,12,10.27437639017555,10.174571789092296,sha256:1709ebfbe5d99921df8eac0acd0437ee76e8ff23e61da1d0e56dcba05c599ca3
WIDE_N32_IDENTITY,D111,12,7,33.72381510648942,27.993955444505566,sha256:b1daeab1b13580c0c51e63e333be6d377bb02ea4687f9aaaf2d4d9926a1c5b7f
WIDE_N32_IDENTITY,D111,12,8,26.18415012280339,25.068089990107982,sha256:c020ec5367771d3d8307d927738279eb55766d3f928580a8726069b6ba889efa
WIDE_N32_IDENTITY,D111,12,9,12.998547331174134,11.755107015548617,sha256:69cee98de0207af17aee4a9d9c5addfa2314b7db7bc6098f52735413c19333e1
WIDE_N32_IDENTITY,D111,12,10,7.185167110091965,6.897388020247611,sha256:65bcba97bd5d41c4258cf44c8abff610a6a686a82677b1a308d961d6d7672c89
WIDE_N32_IDENTITY,D111,12,11,7.051747592480596,6.877021817328513,sha256:587d7e07ee0356c7abff6950b512fb4d873bb21fabadd7fa37078e99aeb5865b
WIDE_N32_IDENTITY,D111,12,12,7.239536844745821,6.924973174666412,sha256:1709ebfbe5d99921df8eac0acd0437ee76e8ff23e61da1d0e56dcba05c599ca3
WIDE_N32_IDENTITY,D1M11,12,7,33.7238151064894,27.993955444505534,sha256:b1daeab1b13580c0c51e63e333be6d377bb02ea4687f9aaaf2d4d9926a1c5b7f
WIDE_N32_IDENTITY,D1M11,12,8,26.18415012280341,25.068089990107996,sha256:c020ec5367771d3d8307d927738279eb55766d3f928580a8726069b6ba889efa
WIDE_N32_IDENTITY,D1M11,12,9,12.99854733117413,11.755107015548614,sha256:69cee98de0207af17aee4a9d9c5addfa2314b7db7bc6098f52735413c19333e1
WIDE_N32_IDENTITY,D1M11,12,10,7.185167110091966,6.897388020247612,sha256:65bcba97bd5d41c4258cf44c8abff610a6a686a82677b1a308d961d6d7672c89
WIDE_N32_IDENTITY,D1M11,12,11,7.051747592480606,6.877021817328522,sha256:587d7e07ee0356c7abff6950b512fb4d873bb21fabadd7fa37078e99aeb5865b
WIDE_N32_IDENTITY,D1M11,12,12,7.239536844745813,6.924973174666405,sha256:1709ebfbe5d99921df8eac0acd0437ee76e8ff23e61da1d0e56dcba05c599ca3
WIDE_N32_IDENTITY,D11M1,12,7,33.7238151064894,27.99395544450554,sha256:b1daeab1b13580c0c51e63e333be6d377bb02ea4687f9aaaf2d4d9926a1c5b7f
WIDE_N32_IDENTITY,D11M1,12,8,26.184150122803427,25.068089990108014,sha256:c020ec5367771d3d8307d927738279eb55766d3f928580a8726069b6ba889efa
WIDE_N32_IDENTITY,D11M1,12,9,12.998547331174146,11.755107015548633,sha256:69cee98de0207af17aee4a9d9c5addfa2314b7db7bc6098f52735413c19333e1
WIDE_N32_IDENTITY,D11M1,12,10,7.1851671100919745,6.8973880202476225,sha256:65bcba97bd5d41c4258cf44c8abff610a6a686a82677b1a308d961d6d7672c89
WIDE_N32_IDENTITY,D11M1,12,11,7.0517475924806154,6.877021817328533,sha256:587d7e07ee0356c7abff6950b512fb4d873bb21fabadd7fa37078e99aeb5865b
WIDE_N32_IDENTITY,D11M1,12,12,7.239536844745847,6.92497317466644,sha256:1709ebfbe5d99921df8eac0acd0437ee76e8ff23e61da1d0e56dcba05c599ca3
FULL_N16_IDENTITY,X,12,7,0.017609583034706888,0.017425547940113792,sha256:fc272c6b0d54edb508342fce99a22d3cc497012cb9e51de06ec44319b48c0379
FULL_N16_IDENTITY,X,12,8,0.024712475494310025,0.024472092255950092,sha256:b6bb754b537e3b908bdebd2cd9cdb1c274e2c2912fa2c21b66c4c9fbe77decbc
FULL_N16_IDENTITY,X,12,9,0.02491870525737077,0.024661809751044306,sha256:c3d2c15935d97fdd5e0d42c64156db4da0f22121ec7615745cf10dda38ce035d
FULL_N16_IDENTITY,X,12,10,0.03172475700834211,0.03136228026420351,sha256:762a937193d2174d6e0dde32848f800bdafe584a3824b2e3f57a63d1fae4661b
FULL_N16_IDENTITY,X,12,11,0.031244383193748233,0.03102689314659652,sha256:0224a93f6318fff9233ff02e7183393c58935a29535f2fcf1c4c5614820f59dd
FULL_N16_IDENTITY,X,12,12,0.039615923555175216,0.039310428874075286,sha256:05c329181540358fb71a9f2e1a0647847a5debdb7ff97e129ca98d950accecb9
FULL_N16_IDENTITY,Y,12,7,0.017609583034706573,0.017425547940113455,sha256:fc272c6b0d54edb508342fce99a22d3cc497012cb9e51de06ec44319b48c0379
FULL_N16_IDENTITY,Y,12,8,0.024712475494310108,0.024472092255950213,sha256:b6bb754b537e3b908bdebd2cd9cdb1c274e2c2912fa2c21b66c4c9fbe77decbc
FULL_N16_IDENTITY,Y,12,9,0.024918705257371325,0.02466180975104492,sha256:c3d2c15935d97fdd5e0d42c64156db4da0f22121ec7615745cf10dda38ce035d
FULL_N16_IDENTITY,Y,12,10,0.031724757008342847,0.0313622802642041,sha256:762a937193d2174d6e0dde32848f800bdafe584a3824b2e3f57a63d1fae4661b
FULL_N16_IDENTITY,Y,12,11,0.031244383193748854,0.031026893146597075,sha256:0224a93f6318fff9233ff02e7183393c58935a29535f2fcf1c4c5614820f59dd
