epsilon1,observed_sigma2_max,observed_w2_max,sigma_ratio_to_epsilon1_zero,w_ratio_to_epsilon1_zero,LEGACY_ABSOLUTE_MEDIAN_V1,LOO_ECDF_MIDRANK_V1
2.6e-06,4.3261678839237817e-10,1.2460682627038775e-10,1.802504594188344,414.50100059189924,98,148
2.7000000000000004e-06,4.411497917067935e-10,1.3388783424696772e-10,1.8380574855442564,445.3740049684501,98,148
2.8000000000000003e-06,4.4976612835454194e-10,1.4350217555688099e-10,1.8739575865328328,477.35583302932685,98,148
2.9e-06,4.5846579833562366e-10,1.5344985020012764e-10,1.910204897154074,510.4464847745298,98,148
3e-06,4.672488016500388e-10,1.6373085817670755e-10,1.9467994174079803,544.6459602040584,98,148
3.1000000000000004e-06,4.761151382977873e-10,1.7434519948662087e-10,1.9837411472945512,579.9542593179133,98,148
3.2000000000000003e-06,4.850648082788691e-10,1.8529287412986744e-10,2.021030086813787,616.3713821160939,98,148
3.3e-06,4.940978115932842e-10,1.9657388210644742e-10,2.058666235965688,653.8973285986008,98,148
3.4000000000000005e-06,5.032141482410327e-10,2.0818822341636074e-10,2.0966495947502537,692.5320987654336,98,148
3.5000000000000004e-06,5.124138182221144e-10,2.2013589805960733e-10,2.1349801631674836,732.2756926165922,98,148
3.6000000000000003e-06,5.216968215365297e-10,2.324169060361873e-10,2.1736579412173795,773.128110152077,98,148
3.7e-06,5.310631581842782e-10,2.4503124734610057e-10,2.2126829288999397,815.0893513718877,98,148
3.8000000000000005e-06,5.4051282816536e-10,2.579789219893472e-10,2.2520551262151645,858.1594162760244,98,148
3.9e-06,5.500458314797752e-10,2.7125992996592714e-10,2.2917745331630544,902.338304864487,98,148
4.000000000000001e-06,5.596621681275237e-10,2.8487427127584055e-10,2.3318411497436093,947.6260171372761,98,148
4.1000000000000006e-06,5.693618381086055e-10,2.988219459190871e-10,2.372254975956829,994.0225530943904,98,148
4.2000000000000004e-06,5.791448414230207e-10,3.13102953895667e-10,2.4130160118027133,1041.527912735831,98,148
4.3e-06,5.890111780707691e-10,3.277172952055803e-10,2.4541242572812623,1090.1420960615978,98,148
4.4e-06,5.989608480518509e-10,3.426649698488269e-10,2.4955797123924763,1139.8651030716903,98,148
4.5e-06,6.08993851366266e-10,3.579459778254068e-10,2.537382377136355,1190.6969337661087,98,148
4.6e-06,6.191101880140145e-10,3.7356031913532006e-10,2.579532251512899,1242.6375881448532,98,148
4.700000000000001e-06,6.293098579950962e-10,3.895079937785668e-10,2.6220293355221074,1295.6870662079243,98,148
4.800000000000001e-06,6.395928613095113e-10,4.057890017551467e-10,2.66487362916398,1349.8453679553206,98,148
4.9000000000000005e-06,6.499591979572597e-10,4.2240334306505996e-10,2.7080651324385183,1405.112493387043,98,148
5e-06,6.604088679383416e-10,4.3935101770830654e-10,2.7516038453457217,1461.4884425030916,98,148
5.1e-06,6.709418712527569e-10,4.566320256848866e-10,2.79548976788559,1518.9732153034665,98,148
5.2e-06,6.815582079005053e-10,4.742463669947998e-10,2.839722900058123,1577.566811788167,98,148
5.3e-06,6.922578778815872e-10,4.921940416380465e-10,2.8843032418633205,1637.2692319571934,98,148
5.400000000000001e-06,7.030408811960024e-10,5.104750496146264e-10,2.9292307933011834,1698.080475810546,98,148
5.500000000000001e-06,7.13907217843751e-10,5.290893909245397e-10,2.974505554371711,1760.0005433482245,98,148
5.600000000000001e-06,7.248568878248326e-10,5.480370655677862e-10,3.0201275250749027,1823.0294345702287,98,148
5.7000000000000005e-06,7.358898911392478e-10,5.673180735443662e-10,3.0660967054107595,1887.1671494765592,98,148
5.8e-06,7.470062277869962e-10,5.869324148542796e-10,3.1124130953792815,1952.4136880672158,98,148
5.9e-06,7.582058977680781e-10,6.068800894975261e-10,3.159076694980468,2018.769050342198,98,148
6e-06,7.694889010824933e-10,6.271610974741061e-10,3.20608750421432,2086.2332363015066,98,148
6.100000000000001e-06,7.808552377302417e-10,6.477754387840194e-10,3.253445523080836,2154.806245945141,98,148
6.200000000000001e-06,7.923049077113234e-10,6.687231134272661e-10,3.3011507515800167,2224.4880792731014,98,148
6.300000000000001e-06,8.038379110257386e-10,6.90004121403846e-10,3.3492031897118633,2295.278736285388,98,148
6.4000000000000006e-06,8.154542476734869e-10,7.116184627137592e-10,3.3976028374763736,2367.178216982,98,148
6.5000000000000004e-06,8.271539176545689e-10,7.33566137357006e-10,3.4463496948735504,2440.186521362939,98,148
6.6e-06,8.38936920968984e-10,7.558471453335858e-10,3.4954437619033905,2514.3036494282032,98,148
6.7e-06,8.508032576167325e-10,7.78461486643499e-10,3.544885038565896,2589.529601177793,98,148
6.800000000000001e-06,8.627529275978145e-10,8.014091612867458e-10,3.5946735248610673,2665.86437661171,98,148
6.900000000000001e-06,8.747859309122297e-10,8.246901692633257e-10,3.6448092207889022,2743.307975729952,98,148
7.000000000000001e-06,8.869022675599782e-10,8.483045105732389e-10,3.6952921263494023,2821.8603985325203,98,148
7.100000000000001e-06,8.991019375410599e-10,8.722521852164854e-10,3.746122241542567,2901.5216450194143,98,148
7.2000000000000005e-06,9.113849408554749e-10,8.965331931930657e-10,3.797299566368396,2982.291715190636,98,148
7.3e-06,9.237512775032235e-10,9.211475345029788e-10,3.848824100826891,3064.170609046181,98,148
7.4e-06,9.362009474843051e-10,9.460952091462254e-10,3.9006958449180495,3147.1583265860536,98,148
7.500000000000001e-06,9.487339507987203e-10,9.713762171228054e-10,3.952914798641874,3231.254867810252,98,148
7.600000000000001e-06,9.613502874464687e-10,9.969905584327189e-10,4.005480961998362,3316.4602327187768,98,148
7.7e-06,9.740499574275504e-10,1.0229382330759654e-09,4.058394334987516,3402.7744213116266,98,148
7.8e-06,9.868329607419657e-10,1.049219241052545e-09,4.111654917609335,3490.197433588802,98,148
7.9e-06,9.996992973897145e-10,1.0758335823624587e-09,4.16526270986382,3578.7292695503056,98,148
8.000000000000001e-06,1.0126489673707965e-09,1.1027812570057055e-09,4.21921771175097,3668.3699291961343,98,148
8.1e-06,1.0256819706852112e-09,1.130062264982285e-09,4.273519923270781,3759.1194125262873,98,148
8.200000000000001e-06,1.03879830733296e-09,1.1576766062921985e-09,4.32816934442326,3850.9777195407682,98,148
8.3e-06,1.0519979773140413e-09,1.1856242809354448e-09,4.383165975208401,3943.944850239573,98,148
8.400000000000001e-06,1.0652809806284568e-09,1.213905288912025e-09,4.43850981562621,4038.020804622706,98,148
8.5e-06,1.0786473172762053e-09,1.2425196302219383e-09,4.494200865676683,4133.205582690164,98,148
8.6e-06,1.092096987257287e-09,1.2714673048651851e-09,4.550239125359821,4229.499184441949,98,148
8.700000000000001e-06,1.1056299905717022e-09,1.3007483128417651e-09,4.606624594675623,4326.901609878059,98,148
8.8e-06,1.1192463272194506e-09,1.3303626541516782e-09,4.663357273624089,4425.412858998495,98,148
8.900000000000001e-06,1.1329459972005324e-09,1.360310328794925e-09,4.720437162205221,4525.032931803258,98,148
9e-06,1.1467290005149476e-09,1.3905913367715046e-09,4.777864260419018,4625.761828292344,98,148
9.100000000000001e-06,1.1605953371626959e-09,1.4212056780814183e-09,4.835638568265479,4727.599548465761,98,148
9.2e-06,1.1745450071437778e-09,1.4521533527246651e-09,4.893760085744606,4830.5460923235005,98,148
9.3e-06,1.1885780104581928e-09,1.4834343607012447e-09,4.952228812856397,4934.601459865566,98,148
9.400000000000001e-06,1.2026943471059418e-09,1.5150487020111586e-09,5.011044749600855,5039.76565109196,98,148
9.5e-06,1.2168940170870235e-09,1.546996376654405e-09,5.070207895977976,5146.038666002677,98,148
9.600000000000001e-06,1.2311770204014387e-09,1.579277384630985e-09,5.129718251987762,5253.420504597721,98,148
9.7e-06,1.2455433570491871e-09,1.6118917259408983e-09,5.189575817630213,5361.911166877091,98,148
9.800000000000001e-06,1.259993027030269e-09,1.6448394005841447e-09,5.249780592905329,5471.510652840787,98,148
9.9e-06,1.2745260303446841e-09,1.6781204085607245e-09,5.310332577813109,5582.218962488808,98,148
1e-05,1.2891423669924325e-09,1.7117347498706377e-09,5.371231772353554,5694.036095821156,98,148
