[#b7eb6c 621MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m50s]
[#b7eb6c 622MiB/9.9GiB(6%) CN:8 DL:2.1MiB ETA:1h13m10s]
[#b7eb6c 625MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m43s]
[#b7eb6c 627MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m23s]
[#b7eb6c 630MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m16s]
[#b7eb6c 632MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m25s]
[#b7eb6c 634MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m22s]
[#b7eb6c 636MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m15s]
[#b7eb6c 638MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m10s]
[#b7eb6c 641MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m17s]
[#b7eb6c 643MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h9m17s]
[#b7eb6c 645MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h9m22s]
[#b7eb6c 647MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m13s]
[#b7eb6c 650MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m10s]
[#b7eb6c 652MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m16s]
[#b7eb6c 654MiB/9.9GiB(6%) CN:8 DL:2.1MiB ETA:1h11m58s]
[#b7eb6c 656MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m15s]
[#b7eb6c 658MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m38s]
[#b7eb6c 661MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m]
[#b7eb6c 663MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m8s]
[#b7eb6c 665MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h10m58s]
[#b7eb6c 667MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m5s]
[#b7eb6c 669MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m41s]
[#b7eb6c 672MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m12s]
[#b7eb6c 674MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m20s]
[#b7eb6c 676MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m25s]
[#b7eb6c 678MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m22s]
[#b7eb6c 680MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m21s]
[#b7eb6c 682MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m10s]
[#b7eb6c 685MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m32s]
[#b7eb6c 687MiB/9.9GiB(6%) CN:8 DL:2.1MiB ETA:1h11m53s]
[#b7eb6c 689MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m18s]
[#b7eb6c 691MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m22s]
[#b7eb6c 693MiB/9.9GiB(6%) CN:8 DL:2.2MiB ETA:1h11m10s]
[#b7eb6c 695MiB/9.9GiB(6%) CN:8 DL:2.1MiB ETA:1h13m19s]
[#b7eb6c 697MiB/9.9GiB(6%) CN:8 DL:2.1MiB ETA:1h13m41s]
[#b7eb6c 699MiB/9.9GiB(6%) CN:8 DL:2.0MiB ETA:1h16m6s]
[#b7eb6c 701MiB/9.9GiB(6%) CN:8 DL:2.0MiB ETA:1h16m14s]
[#b7eb6c 703MiB/9.9GiB(6%) CN:8 DL:2.0MiB ETA:1h16m55s]
[#b7eb6c 705MiB/9.9GiB(6%) CN:8 DL:2.0MiB ETA:1h16m34s]
 *** Download Progress Summary as of Sun Sep 13 12:12:58 2026 *** 
===============================================================================
[#b7eb6c 707MiB/9.9GiB(6%) CN:8 DL:2.0MiB ETA:1h15m38s]
FILE: /home/cosmosapjw/.cache/htt-r9/sdss_pv_zenodo_6824749/mocks.tar.gz.partial
-------------------------------------------------------------------------------

[#b7eb6c 707MiB/9.9GiB(6%) CN:8 DL:2.0MiB ETA:1h15m38s]
[#b7eb6c 710MiB/9.9GiB(6%) CN:8 DL:2.0MiB ETA:1h16m20s]
[#b7eb6c 712MiB/9.9GiB(7%) CN:8 DL:2.0MiB ETA:1h17m9s]
[#b7eb6c 714MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h13m51s]
[#b7eb6c 716MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h13m47s]
[#b7eb6c 718MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h12m10s]
[#b7eb6c 720MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h13m28s]
[#b7eb6c 722MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h13m26s]
[#b7eb6c 724MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h13m16s]
[#b7eb6c 726MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h13m22s]
[#b7eb6c 729MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h11m30s]
[#b7eb6c 731MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h13m26s]
[#b7eb6c 733MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h13m13s]
[#b7eb6c 735MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h13m11s]
[#b7eb6c 737MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h13m18s]
[#b7eb6c 740MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h13m24s]
[#b7eb6c 742MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h12m12s]
[#b7eb6c 744MiB/9.9GiB(7%) CN:8 DL:2.2MiB ETA:1h10m51s]
[#b7eb6c 746MiB/9.9GiB(7%) CN:8 DL:2.2MiB ETA:1h11m5s]
[#b7eb6c 748MiB/9.9GiB(7%) CN:8 DL:2.2MiB ETA:1h11m]
[#b7eb6c 751MiB/9.9GiB(7%) CN:8 DL:2.2MiB ETA:1h10m59s]
[#b7eb6c 753MiB/9.9GiB(7%) CN:8 DL:2.2MiB ETA:1h11m3s]
[#b7eb6c 755MiB/9.9GiB(7%) CN:8 DL:2.2MiB ETA:1h10m5s]
[#b7eb6c 757MiB/9.9GiB(7%) CN:8 DL:2.2MiB ETA:1h10m56s]
[#b7eb6c 759MiB/9.9GiB(7%) CN:8 DL:2.2MiB ETA:1h10m15s]
[#b7eb6c 761MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h12m3s]
[#b7eb6c 764MiB/9.9GiB(7%) CN:8 DL:2.2MiB ETA:1h10m46s]
[#b7eb6c 766MiB/9.9GiB(7%) CN:8 DL:2.2MiB ETA:1h10m35s]
[#b7eb6c 768MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h12m18s]
[#b7eb6c 770MiB/9.9GiB(7%) CN:8 DL:2.2MiB ETA:1h10m32s]
[#b7eb6c 773MiB/9.9GiB(7%) CN:8 DL:2.2MiB ETA:1h10m40s]
[#b7eb6c 775MiB/9.9GiB(7%) CN:8 DL:2.2MiB ETA:1h10m42s]
[#b7eb6c 777MiB/9.9GiB(7%) CN:8 DL:2.2MiB ETA:1h9m57s]
[#b7eb6c 779MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h11m40s]
[#b7eb6c 781MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h11m22s]
[#b7eb6c 783MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h13m7s]
[#b7eb6c 785MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h12m50s]
[#b7eb6c 787MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h12m43s]
[#b7eb6c 789MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h13m11s]
[#b7eb6c 792MiB/9.9GiB(7%) CN:8 DL:2.1MiB ETA:1h13m]
[#b7eb6c 793MiB/9.9GiB(7%) CN:8 DL:2.0MiB ETA:1h14m46s]
[#b7eb6c 794MiB/9.9GiB(7%) CN:8 DL:1.9MiB ETA:1h19m41s]
[#b7eb6c 796MiB/9.9GiB(7%) CN:8 DL:1.8MiB ETA:1h23m8s]
[#b7eb6c 797MiB/9.9GiB(7%) CN:8 DL:1.8MiB ETA:1h25m53s]
[#b7eb6c 798MiB/9.9GiB(7%) CN:8 DL:1.6MiB ETA:1h32m38s]
[#b7eb6c 799MiB/9.9GiB(7%) CN:8 DL:1.5MiB ETA:1h39m40s]
[#b7eb6c 800MiB/9.9GiB(7%) CN:8 DL:1.4MiB ETA:1h46m46s]
[#b7eb6c 801MiB/9.9GiB(7%) CN:8 DL:1.3MiB ETA:1h56m11s]
[#b7eb6c 803MiB/9.9GiB(7%) CN:8 DL:1.2MiB ETA:2h5m54s]
[#b7eb6c 804MiB/9.9GiB(7%) CN:8 DL:1.2MiB ETA:2h3m42s]
[#b7eb6c 806MiB/9.9GiB(7%) CN:8 DL:1.2MiB ETA:2h2m57s]
[#b7eb6c 808MiB/9.9GiB(7%) CN:8 DL:1.3MiB ETA:1h52m9s]
[#b7eb6c 810MiB/9.9GiB(7%) CN:8 DL:1.4MiB ETA:1h44m56s]
[#b7eb6c 812MiB/9.9GiB(8%) CN:8 DL:1.5MiB ETA:1h39m31s]
[#b7eb6c 814MiB/9.9GiB(8%) CN:8 DL:1.7MiB ETA:1h31m24s]
[#b7eb6c 816MiB/9.9GiB(8%) CN:8 DL:1.7MiB ETA:1h26m31s]
[#b7eb6c 819MiB/9.9GiB(8%) CN:8 DL:1.8MiB ETA:1h24m33s]
[#b7eb6c 821MiB/9.9GiB(8%) CN:8 DL:1.9MiB ETA:1h19m54s]
[#b7eb6c 823MiB/9.9GiB(8%) CN:8 DL:2.0MiB ETA:1h15m57s]
[#b7eb6c 825MiB/9.9GiB(8%) CN:8 DL:2.1MiB ETA:1h13m31s]
[#b7eb6c 827MiB/9.9GiB(8%) CN:8 DL:2.1MiB ETA:1h11m46s]
 *** Download Progress Summary as of Sun Sep 13 12:13:59 2026 *** 
===============================================================================
[#b7eb6c 830MiB/9.9GiB(8%) CN:8 DL:2.1MiB ETA:1h10m57s]
FILE: /home/cosmosapjw/.cache/htt-r9/sdss_pv_zenodo_6824749/mocks.tar.gz.partial
-------------------------------------------------------------------------------

[#b7eb6c 830MiB/9.9GiB(8%) CN:8 DL:2.1MiB ETA:1h10m57s]
[#b7eb6c 831MiB/9.9GiB(8%) CN:8 DL:2.1MiB ETA:1h11m52s]
[#b7eb6c 834MiB/9.9GiB(8%) CN:8 DL:2.2MiB ETA:1h10m8s]
[#b7eb6c 836MiB/9.9GiB(8%) CN:8 DL:2.2MiB ETA:1h10m14s]
[#b7eb6c 838MiB/9.9GiB(8%) CN:8 DL:2.1MiB ETA:1h11m37s]
[#b7eb6c 841MiB/9.9GiB(8%) CN:8 DL:2.2MiB ETA:1h9m54s]
[#b7eb6c 843MiB/9.9GiB(8%) CN:8 DL:2.1MiB ETA:1h10m34s]
[#b7eb6c 845MiB/9.9GiB(8%) CN:8 DL:2.2MiB ETA:1h10m3s]
[#b7eb6c 847MiB/9.9GiB(8%) CN:8 DL:2.1MiB ETA:1h11m48s]
[#b7eb6c 849MiB/9.9GiB(8%) CN:8 DL:2.2MiB ETA:1h10m26s]
[#b7eb6c 851MiB/9.9GiB(8%) CN:8 DL:2.2MiB ETA:1h10m19s]
[#b7eb6c 854MiB/9.9GiB(8%) CN:8 DL:2.2MiB ETA:1h9m45s]
[#b7eb6c 856MiB/9.9GiB(8%) CN:8 DL:2.2MiB ETA:1h9m51s]
[#b7eb6c 858MiB/9.9GiB(8%) CN:8 DL:2.1MiB ETA:1h10m38s]
[#b7eb6c 860MiB/9.9GiB(8%) CN:8 DL:2.2MiB ETA:1h7m56s]
[#b7eb6c 863MiB/9.9GiB(8%) CN:8 DL:2.2MiB ETA:1h10m]
[#b7eb6c 865MiB/9.9GiB(8%) CN:8 DL:2.2MiB ETA:1h8m47s]
[#b7eb6c 867MiB/9.9GiB(8%) CN:8 DL:2.2MiB ETA:1h9m53s]
[#b7eb6c 869MiB/9.9GiB(8%) CN:8 DL:2.1MiB ETA:1h10m44s]
[#b7eb6c 871MiB/9.9GiB(8%) CN:8 DL:2.1MiB ETA:1h11m14s]
[#b7eb6c 873MiB/9.9GiB(8%) CN:8 DL:2.1MiB ETA:1h11m10s]
[#b7eb6c 875MiB/9.9GiB(8%) CN:8 DL:2.1MiB ETA:1h11m12s]
[#b7eb6c 877MiB/9.9GiB(8%) CN:8 DL:2.1MiB ETA:1h11m16s]
[#b7eb6c 880MiB/9.9GiB(8%) CN:8 DL:2.1MiB ETA:1h11m18s]
